time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-12 00:00:00+00:00,731,127,641,93
2021-11-13 00:00:00+00:00,381,93,162,46
2021-11-14 00:00:00+00:00,369,100,110,53
2021-11-15 00:00:00+00:00,412,135,512,95
2021-11-16 00:00:00+00:00,339,112,426,92
2021-11-17 00:00:00+00:00,531,106,542,91
2021-11-18 00:00:00+00:00,496,113,589,96
2021-11-19 00:00:00+00:00,568,119,564,103
2021-11-20 00:00:00+00:00,371,95,177,66
2021-11-21 00:00:00+00:00,372,104,404,95
2021-11-22 00:00:00+00:00,479,117,519,113
2021-11-23 00:00:00+00:00,505,115,550,115
2021-11-24 00:00:00+00:00,574,123,569,95
2021-11-25 00:00:00+00:00,550,118,503,88
