time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-17 00:00:00+00:00,288,89,669,92
2021-08-18 00:00:00+00:00,359,87,828,94
2021-08-19 00:00:00+00:00,343,91,777,117
2021-08-20 00:00:00+00:00,242,82,469,78
2021-08-21 00:00:00+00:00,207,81,189,91
2021-08-22 00:00:00+00:00,163,69,152,75
2021-08-23 00:00:00+00:00,247,82,550,112
2021-08-24 00:00:00+00:00,235,102,279,63
2021-08-25 00:00:00+00:00,365,97,674,99
2021-08-26 00:00:00+00:00,308,94,442,110
2021-08-27 00:00:00+00:00,171,69,409,83
2021-08-28 00:00:00+00:00,149,75,359,65
2021-08-29 00:00:00+00:00,177,51,203,58
2021-08-30 00:00:00+00:00,142,59,296,87
